congress_no	year	icpsr	state_no	district_no	state_name	party	dim1	name
1	1789	9062	1	98	CONNECT	5000	0.648	STURGES
1	1789	9706	1	98	CONNECT	5000	0.759	WADSWORTH
1	1789	8457	1	98	CONNECT	5000	0.715	SHERMAN
1	1789	4766	1	98	CONNECT	5000	0.747	HUNTINGTON
1	1789	9489	1	98	CONNECT	5000	0.778	TRUMBULL
1	1789	9676	11	1	DELAWAR	5000	0.45	VINING
1	1789	4854	44	1	GEORGIA	4000	-0.461	JACKSON
1	1789	379	44	2	GEORGIA	4000	0.052	BALDWIN
1	1789	6071	44	3	GEORGIA	4000	-0.379	MATHEWS
1	1789	8983	52	1	MARYLAN	4000	0.107	STONE
1	1789	8363	52	2	MARYLAN	4000	0.311	SENEY
1	1789	2010	52	3	MARYLAN	4000	-0.022	CONTEE
1	1789	8693	52	4	MARYLAN	4000	0.48	SMITH  W.
1	1789	3430	52	5	MARYLAN	5000	0.303	GALE
1	1789	1538	52	6	MARYLAN	5000	0.153	CARROLL
1	1789	154	3	1	MASSACH	5000	0.884	AMES
1	1789	3674	3	2	MASSACH	5000	0.89	GOODHUE
1	1789	3541	3	3	MASSACH	4000	0.686	GERRY
1	1789	8344	3	4	MASSACH	5000	0.87	SEDGWICK
1	1789	7224	3	5	MASSACH	5000	0.833	PARTRIDGE
1	1789	9268	3	6	MASSACH	5000	0.822	THACHER
1	1789	5611	3	7	MASSACH	5000	0.878	LEONARD
1	1789	3857	3	8	MASSACH	4000	0.431	GROUT
1	1789	3610	4	98	NEW HAM	5000	0.486	GILMAN
1	1789	3299	4	98	NEW HAM	5000	0.847	FOSTER
1	1789	5713	4	98	NEW HAM	4000	0.706	LIVERMORE
1	1789	878	12	98	NEW JER	5000	0.654	BOUDINOT
1	1789	1387	12	98	NEW JER	5000	0.667	CADWALADER
1	1789	8278	12	98	NEW JER	5000	0.663	SCHUREMAN
1	1789	8544	12	98	NEW JER	5000	0.651	SINNICKSON
1	1789	3237	13	1	NEW YOR	4000	0.514	FLOYD
1	1789	5498	13	2	NEW YOR	5000	0.69	LAURANCE
1	1789	649	13	3	NEW YOR	5000	0.822	BENSON
1	1789	4193	13	4	NEW YOR	4000	0.231	HATHORN
1	1789	8511	13	5	NEW YOR	5000	0.635	SILVESTER
1	1789	9629	13	6	NEW YOR	4000	0.42	VANRENSSELA
1	1789	259	47	1	NORTH C	4000	-0.546	ASHE
1	1789	10193	47	2	NORTH C	4000	0.126	WILLIAMSON
1	1789	800	47	3	NORTH C	4000	-0.21	BLOODWORTH
1	1789	8869	47	4	NORTH C	5000	0.276	STEELE
1	1789	8374	47	5	NORTH C	5000	-0.071	SEVIER
1	1789	4390	14	98	PENNSYL	4000	0.24	HIESTER
1	1789	6784	14	98	PENNSYL	5000	0.185	MUHLENGBRG
1	1789	4156	14	98	PENNSYL	5000	0.469	HARTLEY
1	1789	8312	14	98	PENNSYL	5000	0.38	SCOTT
1	1789	10405	14	98	PENNSYL	5000	0.656	WYNKOOP
1	1789	1859	14	98	PENNSYL	5000	0.614	CLYMER
1	1789	3196	14	98	PENNSYL	5000	0.54	FITZSIMONS
1	1789	8702	48	1	SOUTH C	5000	0.641	SMITH  W.L.
1	1789	1260	48	2	SOUTH C	4000	0.215	BURKE
1	1789	4695	48	3	SOUTH C	5000	0.646	HUGER
1	1789	9088	48	4	SOUTH C	4000	-0.714	SUMTER
1	1789	9501	48	5	SOUTH C	4000	0.289	TUCKER
1	1789	10006	40	1	VIRGINI	5000	0.203	WHITE
1	1789	1118	40	2	VIRGINI	4000	-0.097	BROWN
1	1789	6625	40	3	VIRGINI	4000	-0.09	MOORE
1	1789	5564	40	4	VIRGINI	5000	0.303	LEE
1	1789	5903	40	5	VIRGINI	4000	0.033	MADISON
1	1789	1936	40	6	VIRGINI	4000	-0.26	COLES
1	1789	7156	40	7	VIRGINI	4000	0.074	PAGE
1	1789	7199	40	8	VIRGINI	4000	0.088	PARKER
1	1789	786	40	9	VIRGINI	4000	-0.862	BLAND
1	1789	3825	40	10	VIRGINI	5000	0.251	GRIFFIN
2	1791	4433	1	98	CONNECT	5000	0.626	HILLHOUSE
2	1791	5543	1	98	CONNECT	5000	0.841	LEARNED
2	1791	9062	1	98	CONNECT	5000	0.648	STURGES
2	1791	9706	1	98	CONNECT	5000	0.759	WADSWORTH
2	1791	9676	11	1	DELAWAR	5000	0.45	VINING
2	1791	9885	44	1	GEORGIA	4000	0.248	WAYNE
2	1791	379	44	2	GEORGIA	4000	0.06	BALDWIN
2	1791	10202	44	3	GEORGIA	4000	-0.04	WILLIS
2	1791	3798	51	1	KENTUCK	4000	-0.079	GREENUP
2	1791	7084	51	2	KENTUCK	4000	0.082	ORR
2	1791	5224	52	1	MARYLAN	5000	0.334	KEY
2	1791	8363	52	2	MARYLAN	4000	0.311	SENEY
2	1791	6418	52	3	MARYLAN	4000	-0.409	MERCER
2	1791	8896	52	4	MARYLAN	4000	0.509	STERETT
2	1791	6830	52	5	MARYLAN	5000	0.466	MURRAY
2	1791	154	3	1	MASSACH	5000	0.884	AMES
2	1791	3674	3	2	MASSACH	5000	0.89	GOODHUE
2	1791	3541	3	3	MASSACH	4000	0.686	GERRY
2	1791	8344	3	4	MASSACH	5000	0.87	SEDGWICK
2	1791	886	3	5	MASSACH	5000	0.954	BOURNE
2	1791	5611	3	6	MASSACH	5000	0.878	LEONARD
2	1791	9808	3	7	MASSACH	5000	0.925	WARD
2	1791	9268	3	8	MASSACH	5000	0.843	THACHER
2	1791	5713	4	98	NEW HAM	5000	0.706	LIVERMORE
2	1791	8644	4	98	NEW HAM	5000	0.487	SMITH  J.
2	1791	3610	4	98	NEW HAM	5000	0.486	GILMAN
2	1791	5303	12	98	NEW JER	5000	0.25	KITCHELL
2	1791	2440	12	98	NEW JER	5000	0.558	DAYTON
2	1791	878	12	98	NEW JER	5000	0.654	BOUDINOT
2	1791	1750	12	98	NEW JER	5000	0.305	CLARK
2	1791	9463	13	1	NEW YOR	4000	-0.101	TREDWELL
2	1791	5498	13	2	NEW YOR	5000	0.69	LAURANCE
2	1791	649	13	3	NEW YOR	5000	0.822	BENSON
2	1791	8272	13	4	NEW YOR	4000	0.031	SCHOONMAKER
2	1791	8511	13	5	NEW YOR	5000	0.635	SILVESTER
2	1791	3695	13	6	NEW YOR	5000	0.574	GORDON
2	1791	8869	47	1	NORTH C	5000	0.276	STEELE
2	1791	5895	47	2	NORTH C	4000	-0.035	MACON
2	1791	259	47	3	NORTH C	4000	-0.546	ASHE
2	1791	10193	47	4	NORTH C	4000	0.126	WILLIAMSON
2	1791	3859	47	5	NORTH C	5000	0.109	GROVE
2	1791	3196	14	1	PENNSYL	5000	0.54	FITZSIMONS
2	1791	6781	14	2	PENNSYL	4000	0.329	MUHLENBERG
2	1791	4871	14	3	PENNSYL	5000	0.333	JACOBS
2	1791	4390	14	4	PENNSYL	4000	0.195	HIESTER
2	1791	5310	14	5	PENNSYL	5000	0.546	KITTERA
2	1791	3805	14	6	PENNSYL	4000	0.232	GREGG
2	1791	4156	14	7	PENNSYL	5000	0.488	HARTLEY
2	1791	3147	14	8	PENNSYL	4000	-0.06	FINDLEY
2	1791	884	5	1	RHODE I	5000	0.749	BOURN
2	1791	8702	48	1	SOUTH C	5000	0.588	SMITH  W.L.
2	1791	456	48	2	SOUTH C	5000	0.741	BARNWELL
2	1791	4695	48	3	SOUTH C	5000	0.646	HUGER
2	1791	9088	48	4	SOUTH C	4000	-0.714	SUMTER
2	1791	9501	48	5	SOUTH C	4000	0.289	TUCKER
2	1791	8639	6	1	VERMONT	4000	0.15	SMITH  I.
2	1791	6932	6	2	VERMONT	4000	0.267	NILES
2	1791	10006	40	1	VIRGINI	5000	0.203	WHITE
2	1791	1118	40	2	VIRGINI	4000	-0.097	BROWN
2	1791	6625	40	3	VIRGINI	4000	-0.081	MOORE
2	1791	5564	40	4	VIRGINI	5000	0.303	LEE
2	1791	5903	40	5	VIRGINI	4000	0.033	MADISON
2	1791	9658	40	6	VIRGINI	4000	-0.118	VENABLE
2	1791	7156	40	7	VIRGINI	4000	0.074	PAGE
2	1791	7199	40	8	VIRGINI	4000	0.172	PARKER
2	1791	3582	40	9	VIRGINI	4000	-0.283	GILES
2	1791	3825	40	10	VIRGINI	4000	0.251	GRIFFIN
3	1793	9489	1	98	CONNECT	5000	0.778	TRUMBELL
3	1793	5543	1	98	CONNECT	5000	0.841	LEARNED
3	1793	1914	1	98	CONNECT	5000	0.561	COIT
3	1793	4433	1	98	CONNECT	5000	0.626	HILLHOUSE
3	1793	9452	1	98	CONNECT	5000	0.884	TRACY
3	1793	9127	1	98	CONNECT	5000	0.523	SWIFT
3	1793	9706	1	98	CONNECT	5000	0.759	WADSWORTH J
3	1793	5494	11	1	DELAWAR	5000	0.4	LATIMER
3	1793	379	44	98	GEORGIA	4000	0.068	BALDWIN
3	1793	1518	44	98	GEORGIA	4000	0.116	CARNES
3	1793	3798	51	1	KENTUCK	4000	-0.079	GREENUP
3	1793	7084	51	2	KENTUCK	4000	0.082	ORR
3	1793	2512	52	1	MARYLAN	5000	0.38	DENT
3	1793	8811	52	4	MARYLAN	4000	0.192	SPRIGG
3	1793	8678	52	5	MARYLAN	4000	0.421	SMITH  S.
3	1793	1716	52	6	MARYLAN	4000	0.082	CHRISTIE
3	1793	4441	52	7	MARYLAN	5000	0.856	HINDMAN
3	1793	6830	52	8	MARYLAN	5000	0.466	MURRAY
3	1793	3674	3	1	MASSACH	5000	0.89	GOODHUE
3	1793	4546	3	1	MASSACH	4000	0.557	HOLTEN
3	1793	154	3	1	MASSACH	5000	0.884	AMES
3	1793	2550	3	1	MASSACH	5000	0.579	DEXTER
3	1793	5852	3	2	MASSACH	4000	-0.011	LYMAN
3	1793	9808	3	2	MASSACH	5000	0.925	WARD
3	1793	3303	3	2	MASSACH	5000	0.813	FOSTER
3	1793	8344	3	2	MASSACH	5000	0.87	SEDGWICK
3	1793	886	3	3	MASSACH	5000	0.954	BOURNE
3	1793	1906	3	3	MASSACH	5000	0.821	COFFIN
3	1793	2451	3	4	MASSACH	4000	0.238	DEARBORN
3	1793	9707	3	4	MASSACH	5000	0.801	WADSWORTH P
3	1793	9268	3	4	MASSACH	5000	0.865	THACHER
3	1793	1865	3	99	MASSACH	5000	0.783	COBB
3	1793	3610	4	98	NEW HAM	5000	0.486	GILMAN
3	1793	10272	4	98	NEW HAM	5000	0.175	WINGATE
3	1793	8644	4	98	NEW HAM	5000	0.487	SMITH  J.
3	1793	8448	4	98	NEW HAM	4000	0.261	SHERBURNE
3	1793	554	12	98	NEW JER	5000	0.554	BEATTY
3	1793	878	12	98	NEW JER	5000	0.654	BOUDINOT
3	1793	1387	12	98	NEW JER	5000	0.667	CADWALADER
3	1793	2440	12	98	NEW JER	5000	0.558	DAYTON
3	1793	1750	12	98	NEW JER	5000	0.305	CLARK
3	1793	9881	13	1	NEW YOR	5000	0.826	WATTS
3	1793	9463	13	2	NEW YOR	4000	-0.101	TREDWELL
3	1793	9602	13	3	NEW YOR	4000	0.035	VANCORTLAND
3	1793	9615	13	4	NEW YOR	5000	0.568	VANGAASBECK
3	1793	351	13	5	NEW YOR	4000	-0.068	BAILEY
3	1793	3573	13	6	NEW YOR	5000	0.826	GILBERT
3	1793	9591	13	7	NEW YOR	5000	0.739	VAN ALEN
3	1793	3628	13	8	NEW YOR	5000	0.8	GLEN
3	1793	3695	13	9	NEW YOR	5000	0.574	GORDON
3	1793	9161	13	10	NEW YOR	5000	1.0	TALBOT
3	1793	6230	47	1	NORTH C	4000	-0.675	MCDOWELL
3	1793	5734	47	2	NORTH C	4000	-0.377	LOCKE
3	1793	10280	47	3	NORTH C	4000	-0.031	WINSTON
3	1793	6401	47	4	NORTH C	4000	-0.23	MEBANE
3	1793	5895	47	5	NORTH C	4000	-0.045	MACON
3	1793	3594	47	6	NORTH C	4000	0.001	GILLESPIE
3	1793	3859	47	7	NORTH C	5000	0.224	GROVE
3	1793	2432	47	8	NORTH C	4000	-0.076	DAWSON
