congress_no	year	icpsr	state_no	district_no	state_name	party	dim1	name
1	1790	4998	1	0	CONNECT	5000	0.9	JOHNSON
1	1790	2936	1	0	CONNECT	5000	0.5	ELLSWORTH
1	1790	507	11	0	DELAWAR	4000	0.1	BASSETT
1	1790	7762	11	0	DELAWAR	5000	0.2	READ
1	1790	3128	44	0	GEORGIA	4000	-0.5	FEW
1	1790	3877	44	0	GEORGIA	4000	-0.0	GUNN
1	1790	1536	52	0	MARYLAN	5000	0.1	CARROLL
1	1790	4333	52	0	MARYLAN	5000	0.1	HENRY
1	1790	2307	3	0	MASSACH	5000	0.8	DALTON
1	1790	9028	3	0	MASSACH	5000	0.5	STRONG
1	1790	5449	4	0	NEW HAM	5000	0.3	LANGDON
1	1790	10272	4	0	NEW HAM	4000	-0.4	WINGATE
1	1790	2943	12	0	NEW JER	5000	0.4	ELMER
1	1790	7231	12	0	NEW JER	5000	0.8	PATERSON
1	1790	8282	13	0	NEW YOR	5000	0.9	SCHUYLER
1	1790	5270	13	0	NEW YOR	5000	0.7	KING
1	1790	4212	47	0	NORTH C	5000	-0.1	HAWKINS
1	1790	5012	47	0	NORTH C	5000	-0.0	JOHNSTON
1	1790	5891	14	0	PENNSYL	4000	-0.6	MACLAY
1	1790	6712	14	0	PENNSYL	5000	0.6	MORRIS
1	1790	8845	5	0	RHODE I	4000	-0.0	STANTON
1	1790	3315	5	0	RHODE I	5000	0.2	FOSTER
1	1790	1346	48	0	SOUTH C	5000	-0.4	BUTLER
1	1790	4837	48	0	SOUTH C	5000	0.3	IZARD
1	1790	5565	40	0	VIRGINI	4000	-0.3	LEE
1	1790	9747	40	0	VIRGINI	5000	0.1	WALKER
2	1792	2936	1	0	CONNECT	5000	0.5	ELLSWORTH
2	1792	8457	1	0	CONNECT	5000	-0.5	SHERMAN
2	1792	507	11	0	DELAWAR	5000	0.1	BASSETT
2	1792	7762	11	0	DELAWAR	5000	0.2	READ
2	1792	3877	44	0	GEORGIA	4000	0.0	GUNN
2	1792	3128	44	0	GEORGIA	4000	-0.5	FEW
2	1792	4333	52	0	MARYLAN	5000	0.1	HENRY
2	1792	1536	52	0	MARYLAN	5000	0.1	CARROLL
2	1792	9028	3	0	MASSACH	5000	0.5	STRONG
2	1792	1384	3	0	MASSACH	5000	0.6	CABOT
2	1792	5449	4	0	NEW HAM	5000	0.0	LANGDON
2	1792	10272	4	0	NEW HAM	4000	-0.4	WINGATE
2	1792	2576	12	0	NEW JER	5000	0.6	DICKINSON
2	1792	8150	12	0	NEW JER	5000	0.9	RUTHERFURD
2	1792	5270	13	0	NEW YOR	5000	0.7	KING
2	1792	1302	13	0	NEW YOR	4000	-0.7	BURR
2	1792	5012	47	0	NORTH C	5000	-0.0	JOHNSTON
2	1792	4212	47	0	NORTH C	4000	-0.1	HAWKINS
2	1792	6712	14	0	PENNSYL	5000	0.6	MORRIS
2	1792	8845	5	0	RHODE I	4000	-0.0	STANTON
2	1792	3315	5	0	RHODE I	5000	0.1	FOSTER
2	1792	1346	48	0	SOUTH C	4000	-0.4	BUTLER
2	1792	4837	48	0	SOUTH C	5000	0.3	IZARD
2	1792	7989	6	0	VERMONT	4000	-0.7	ROBINSON
2	1792	956	6	0	VERMONT	4000	-0.1	BRADLEY
2	1792	6594	40	0	VIRGINI	4000	-0.5	MONROE
2	1792	5565	40	0	VIRGINI	4000	-0.3	LEE
3	1794	2936	1	0	CONNECT	5000	0.5	ELLSWORTH
3	1794	6574	1	0	CONNECT	5000	0.7	MITCHELL
3	1794	9676	11	0	DELAWAR	5000	0.3	VINING
3	1794	4854	44	0	GEORGIA	4000	-0.3	JACKSON
3	1794	3877	44	0	GEORGIA	4000	0.2	GUNN
3	1794	2866	51	0	KENTUCK	4000	-0.5	EDWARDS
3	1794	1118	51	0	KENTUCK	4000	-0.4	BROWN
3	1794	7564	52	0	MARYLAN	5000	0.4	POTTS
3	1794	4333	52	0	MARYLAN	5000	0.1	HENRY
3	1794	9028	3	0	MASSACH	5000	0.5	STRONG
3	1794	1384	3	0	MASSACH	5000	0.6	CABOT
3	1794	5449	4	0	NEW HAM	4000	-0.3	LANGDON
3	1794	5713	4	0	NEW HAM	5000	0.1	LIVERMORE
3	1794	3361	12	0	NEW JER	5000	0.9	FRELINGHUYS
3	1794	8150	12	0	NEW JER	5000	0.9	RUTHERFURD
3	1794	5270	13	0	NEW YOR	5000	0.6	KING
3	1794	1302	13	0	NEW YOR	4000	-0.7	BURR
3	1794	4212	47	0	NORTH C	4000	-0.1	HAWKINS
3	1794	6012	47	0	NORTH C	4000	-0.2	MARTIN
3	1794	6712	14	0	PENNSYL	5000	0.6	MORRIS
3	1794	8070	14	0	PENNSYL	5000	1.4	ROSS
3	1794	951	5	0	RHODE I	5000	0.5	BRADFORD
3	1794	3315	5	0	RHODE I	5000	0.1	FOSTER
3	1794	1346	48	0	SOUTH C	4000	-0.4	BUTLER
3	1794	4837	48	0	SOUTH C	5000	0.3	IZARD
3	1794	7989	6	0	VERMONT	4000	-0.7	ROBINSON
3	1794	956	6	0	VERMONT	4000	-0.1	BRADLEY
3	1794	9215	40	0	VIRGINI	4000	-0.9	TAYLOR
3	1794	6594	40	0	VIRGINI	4000	-0.5	MONROE
4	1796	9489	1	0	CONNECT	1	0.6	TRUMBULL
